assumption,specification,outcome,n,term,estimate,std.error,statistic,p.value,conf.low,conf.high
absent_category_zero,ols,nrega_sanit_post,8688,femalereservation,2.3993190907488224e-4,6.292499484186917e-4,0.3812982578351136,0.7029912723370629,-9.935472078321304e-4,0.001473411025981895
absent_category_zero,ols,nrega_water_post,8688,femalereservation,-1.0787280507546438e-4,7.952410697196046e-5,-1.3564793014714323,0.1749819721348647,-2.6375891279322675e-4,4.8013302642298e-5
absent_category_zero,ols,nrega_total_post,8688,femalereservation,-0.06826960706627509,0.023819909991463748,-2.8660732593339193,0.0041659654744816395,-0.11496227921493515,-0.021576934917615025
absent_category_zero,ols,nrega_sanit_pre,8446,femalereservation,6.238028567850744e-5,0.0017739158873942783,0.03516530074610157,0.971948762306225,-0.00341492940229003,0.0035396899736470444
absent_category_zero,ols,nrega_water_pre,8446,femalereservation,3.954062792167238e-5,5.8474411524808604e-5,0.6762039478566911,0.4989296865139855,-7.508354289634465e-5,1.5416479873968942e-4
absent_category_zero,ols,nrega_total_pre,8446,femalereservation,-0.018357516621955016,0.01596624214049189,-1.1497706511288983,0.25027090917946554,-0.0496552624001594,0.012940229156249369
absent_category_zero,ols_fe,nrega_sanit_post,8688,femalereservation,5.927841551671506e-5,6.170675723418421e-4,0.09606470696839033,0.9234714166040285,-0.0011503218039158308,0.001268878634949261
absent_category_zero,ols_fe,nrega_water_post,8688,femalereservation,-1.0952163651128343e-4,7.90418107662978e-5,-1.3856164914428017,0.1658999213770459,-2.6446251484072233e-4,4.541924181815546e-5
absent_category_zero,ols_fe,nrega_total_post,8688,femalereservation,-0.06472679738202895,0.021417252092248377,-3.0221803013401405,0.002516987043494562,-0.10670974056620627,-0.022743854197851625
absent_category_zero,ols_fe,nrega_sanit_pre,8446,femalereservation,-6.8396300902836e-5,0.0017716451356962848,-0.03860609527536967,0.9692053633094386,-0.00354125916100314,0.0034044665591974675
absent_category_zero,ols_fe,nrega_water_pre,8446,femalereservation,3.8850986311689896e-5,5.865620342305821e-5,0.6623508519887816,0.5077646303623361,-7.612968689314347e-5,1.5383165951652326e-4
absent_category_zero,ols_fe,nrega_total_pre,8446,femalereservation,-0.01908297665911812,0.014614313756769312,-1.3057730234017273,0.1916656435436929,-0.047730647938835295,0.009564694620599057
recorded_only,ols,nrega_sanit_post,2643,femalereservation,0.0012280685035133032,0.0019982620452181714,0.6145682977125365,0.538892796936995,-0.0026902488792648924,0.005146385886291498
recorded_only,ols,nrega_water_post,107,femalereservation,-0.010907218945969735,0.005689143631717132,-1.9171987300798117,0.05793042834241734,-0.022187739833752294,3.733019418128234e-4
recorded_only,ols,nrega_total_post,8688,femalereservation,-0.06826960706627509,0.023819909991463748,-2.8660732593339193,0.0041659654744816395,-0.11496227921493515,-0.021576934917615025
recorded_only,ols,nrega_sanit_pre,2631,femalereservation,-0.0014733124201045079,0.005070838445903126,-0.29054611694340976,0.7714213918100199,-0.011416550874706258,0.008469926034497243
recorded_only,ols,nrega_water_pre,83,femalereservation,0.005436632748652399,0.005509635759596459,0.9867499388109447,0.3267036604709359,-0.005525814169445758,0.016399079666750555
recorded_only,ols,nrega_total_pre,8446,femalereservation,-0.018357516621955016,0.01596624214049189,-1.1497706511288983,0.25027090917946554,-0.0496552624001594,0.012940229156249369
recorded_only,ols_fe,nrega_sanit_post,2643,femalereservation,9.300615769813293e-4,0.0019234778198857167,0.48353122004629556,0.6287597746738351,-0.0028416612967883475,0.0047017844507510065
recorded_only,ols_fe,nrega_water_post,107,femalereservation,-0.007825469275645898,0.005402485676502938,-1.4484942199257014,0.15115783601359928,-0.01856705816684206,0.00291611961555026
recorded_only,ols_fe,nrega_total_post,8688,femalereservation,-0.06472679738202895,0.021417252092248377,-3.0221803013401405,0.002516987043494562,-0.10670974056620627,-0.022743854197851625
recorded_only,ols_fe,nrega_sanit_pre,2631,femalereservation,-0.0034714799050537723,0.004804582208487615,-0.722535228749166,0.47003160189631366,-0.012892751040099834,0.0059497912299922885
recorded_only,ols_fe,nrega_water_pre,83,femalereservation,-0.0011957279293484991,0.005214649900550138,-0.22930166974821292,0.8194143110820816,-0.011626580767985818,0.009235124909288819
recorded_only,ols_fe,nrega_total_pre,8446,femalereservation,-0.01908297665911812,0.014614313756769312,-1.3057730234017273,0.1916656435436929,-0.047730647938835295,0.009564694620599057
